Model 1,,Model 2,,Model 3,
X,Y,X,Y,X,Y
0.3710643449773876,0.1898085629149462,0.4117750952533554,0.19925558053217657,0.7322080974254894,-0.007229233101573196
0.3736908449951919,0.19925558053217657,0.4183413452978664,0.2114017460400442,0.737461097461098,-0.0031805112656172474
0.3763173450129964,0.20870259814940695,0.42096784531567066,0.21680004182131868,0.7440273475056092,-0.001830937320298598
0.3789438450308007,0.21814961576663733,0.4235943453334752,0.22084876365727457,0.7505935975501199,-0.001830937320298598
0.3815703450486052,0.2289462073291863,0.4301605953779861,0.23232014219248287,0.7571598475946311,-0.0031805112656172474
0.3841968450664095,0.23704365100109803,0.43410034540469256,0.23839322494641668,0.7637260976391418,-0.00790402007423241
0.3868233450842138,0.24784024256364706,0.43672684542249707,0.24244194678237257,0.7729188477014572,-0.01532667677348487
0.39076309511092044,0.26133598201683333,0.44460634547591016,0.25323853834492155,0.7807983477548706,-0.020724972554759358
0.39338959512872473,0.2721325735793823,0.4485460955026168,0.2586368341261961,0.7978705978705989,-0.027472842281352494
0.3947028451376271,0.2802300172512941,0.45248584552932325,0.26133598201683333,0.8162560979952294,-0.024773694390715306
0.3973293451554314,0.2883274609232058,0.4616785955916387,0.271457786606723,0.8241355980486427,-0.01937539860944082
0.3999558451732357,0.2991240524857548,0.4669315956272473,0.2761812954153382,0.8307018480931534,-0.013977102828166221
0.4025823451910402,0.30992064404830383,0.47087134565395394,0.2775308693606568,0.8438343481821753,0.0008682105703385901
0.4052088452088445,0.32071723561085286,0.4800640957162692,0.28292916514193134,0.8504005982266865,0.0096404412149097
0.407835345226649,0.33151382717340183,0.48400384574297584,0.28292916514193134,0.855653598262295,0.016388310941502837
0.4117750952533554,0.3450095666265881,0.48925684577858464,0.2856283130325686,0.8622198483068062,0.025160541586073837
0.4130883452622576,0.35310701029849983,0.5037025958765087,0.2802300172512941,0.8674728483424148,0.03325798525798562
0.4157148452800621,0.3612044539704116,0.5089555959121175,0.2775308693606568,0.8727258483780234,0.04135542892989741
0.4183413452978664,0.3720010455329606,0.5128953459388239,0.27483172147001955,0.8792920984225345,0.048103298656490545
0.42096784531567066,0.3827976370955096,0.5220880960011394,0.2660594908254485,0.8845450984581431,0.05620074232840222
0.4235943453334752,0.3935942286580586,0.527341096036748,0.26133598201683333,0.8963643485382629,0.07104605572690714
0.42622084535127946,0.40439082022060757,0.5312808460634546,0.2586368341261961,0.902930598582774,0.0784687124261596
0.428847345369084,0.41248826389251936,0.5365338460990634,0.2505393904542843,0.9173763486806981,0.09263923885200509
0.43147384538688827,0.42328485545506833,0.5404735961257698,0.24514109467300982,0.9239425987252088,0.09938710857859823
0.43410034540469256,0.43408144701761736,0.5444133461524765,0.23974279889173533,0.9318220987786221,0.10478540435987271
0.43672684542249707,0.4421788906895291,0.5536060962147917,0.22624705943854906,0.9397015988320354,0.11018370014114731
0.43935334544030136,0.4529754822520781,0.5575458462414984,0.21949918971195592,0.9475810988854483,0.1155819959224218
0.44197984545810587,0.46107292592398985,0.5667385963038136,0.20465387631345106,0.9567738489477637,0.11963071775837764
0.44460634547591016,0.4705199435412203,0.5706783463305203,0.19790600658685792,0.9659665990100788,0.12098029170369629
0.44723284549371445,0.4799669611584506,0.5759313463661291,0.18845898896962754,0.9974845992237316,0.11895593078571831
0.44985934551151896,0.4880644048303624,0.5785578463839334,0.18441026713367165,0.02699316403131724,0.1119839467037066
0.45248584552932325,0.4961618485022741,0.5811843464017377,0.17901197135239716,0.034347094129700606,0.1044266100281338
0.45511234554712776,0.5042592921741859,0.5838108464195422,0.17496324951644127,0.07405831666097162,0.0613497909773687
0.45773884556493205,0.511007161900779,0.589063846455151,0.16551623189921089,0.07994146073967845,0.05379245430179591
0.46036534558273634,0.5191046055726908,0.5916903464729553,0.1601179361179364,0.08655999782822366,0.044723650291108585
0.46299184560054085,0.5258524752992839,0.5943168464907596,0.1547196403366619,0.09023696287741556,0.03792204728309301
0.4669315956272473,0.5352994929165142,0.5995698465263684,0.14527262271943153,0.10273864404466759,0.012227102586145455
0.4721845956628561,0.5460960844790633,0.6021963465441729,0.14122390088347564,0.14392065259561493,-0.06485773150469731
0.4774375956984649,0.556217889068953,0.6048228465619769,0.13582560510220115,0.19319198425478468,-0.027826781794390465
0.4826905957340737,0.5643153327408648,0.6127023466153902,0.12232986564901493,0.31159025883875935,-0.03387265113484872
0.48925684577858464,0.5717379894401171,0.6153288466331945,0.11828114381305899,0.34247676525197,-0.06636919883981174
0.49713634583199773,0.5762365692578459,0.6179553466509988,0.11423242197710315,0.37115709263566576,-0.0406742541428643
0.5076423459032151,0.5726377054036629,0.6258348467044121,0.10073668252391688,0.34909530234051545,-0.06712493250736917
0.514208595947726,0.5676892676041613,0.6297745967311186,0.09398881279732374,0.4042497780783918,0.028853243272405682
0.5194615959833349,0.5602666109049088,0.6363408467756297,0.08319222123477477,0.43660707051127945,0.07570873066095707
0.5247145960189437,0.5514943802603378,0.6402805968023362,0.07779392545350028,0.457198074786753,0.09762500702011834
0.5299675960545525,0.5406977886977888,0.6442203468290426,0.07239562967222579,0.4638166118752982,0.1044266100281338
0.5339073460812589,0.532600345025877,0.6520998468824559,0.06159903810967671,0.4733767210031967,0.1119839467037066
0.5365338460990634,0.5258524752992839,0.6560395969091624,0.05620074232840222,0.47999525809174215,0.11651834870905031
0.5391603461168677,0.5191046055726908,0.6599793469358692,0.05350159443776503,0.516029515573821,0.12331995171706578
0.5417868461346722,0.511007161900779,0.6691720969981843,0.04135542892989741,0.6866406938563192,-0.02707104812683314
0.5444133461524765,0.5042592921741859,0.6744250970337933,0.03595713314862292,0.7881249292140118,-0.02631531445927593
0.5470398461702808,0.4961618485022741,0.6849310971050104,0.025160541586073837,0.8094513264993237,-0.025559580791718606
0.5496663461880853,0.48941397877568105,0.6901840971406195,0.01976224580479935,0.8366608678633427,-0.008933440105458379
0.5522928462058896,0.4799669611584506,0.7006900972118371,0.0076160802969317265,0.8903445575815425,0.06286125831248335
0.5549193462236939,0.4718695174865389,0.7059430972474456,0.0028925714883165643,0.9087293828275014,0.08628900200675904
0.5575458462414984,0.46377207381462715,0.7098828472741521,-0.00048136337498005943,0.9756501467227912,0.12256421804950857
0.5601723462593027,0.4543250561973967,0.7190755973364675,-0.005879659156254546,0.9852102558506899,0.12180848438195124
0.5627988462771072,0.4448780385801664,0.7243285973720761,-0.005879659156254546,,
0.5654253462949115,0.4367805949082546,0.7295815974076851,-0.005879659156254546,,
0.5680518463127158,0.42598400334570563,0.7453405975145113,-0.001830937320298598,,
0.5706783463305203,0.41788655967379384,0.7505935975501199,-0.001830937320298598,,
0.5733048463483246,0.40708996811124487,0.7663525976569465,-0.006554446128913871,,
0.5759313463661291,0.3962933765486959,0.7716055976925551,-0.005879659156254546,,
0.5785578463839334,0.3881959328767841,0.7768585977281637,-0.005879659156254546,,
